KATEGORI;SUB KATEGORI;AKUN; DEC ; JAN ; FEB ; MAR ; APR ; MAY ; JUN ; JUL ; AUG ; SEP ; OCT ; NOV 
PENDAPATAN;Software;PENJUALAN; 655.730.000 ; 469.120.000 ; 339.000.000 ; 407.263.500 ; 752.608.150 ; 267.162.500 ; 665.032.500 ; 357.500.000 ; 714.220.000 ; 129.400.000 ; 178.170.000 ; 332.907.500 
PENDAPATAN;Software;PENJUALAN CASH NGTC; - ; - ; - ;; - ; - ; - ; - ; - ; - ; - ; - 
PENDAPATAN;Software;PENJUALAN CASH GIA; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
PENDAPATAN;Software;Pendapatan Custom Program; 41.000.000 ; 3.600.000 ; 13.350.000 ; 3.700.000 ; 8.600.000 ; - ; 9.800.000 ; 6.400.000 ; 6.000.000 ; 7.960.000 ; 8.800.000 ; 1.600.000 
PENDAPATAN;Software;Pendapatan Maintenance; 5.000.000 ; - ; 12.500.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - 
PENDAPATAN;Hardware + Consumable;Hardware + Consumable; 205.407.000 ; 305.831.800 ; 252.279.500 ; 705.716.750 ; 313.727.750 ; 284.140.500 ; 464.250.500 ; 178.166.000 ; 487.353.500 ; 141.146.500 ; 270.327.500 ; 179.690.500 
PENDAPATAN;Hardware + Consumable;Penjualan Cash CV; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
PENDAPATAN;Hardware + Consumable; Penjualan Kotak Perhiasan ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
PENDAPATAN;Pendapatan Subscribe; Penjualan Cash Naganet ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
PENDAPATAN;Pendapatan Subscribe;Pendapatan Subscribe; 248.600.000 ; 426.664.000 ; 340.110.000 ; 899.314.500 ; 287.551.465 ; 284.973.700 ; 313.730.000 ; 401.058.000 ; 369.092.000 ; 440.148.000 ; 895.336.000 ; 242.452.000 
PENDAPATAN;Lain Lain;Fee Penjualan; 750.000 ; 750.000 ; 837.750 ; 2.255.750 ; 562.500 ; 1.735.375 ; 312.500 ; - ; - ; - ; - ; - 
PENDAPATAN;Lain Lain;Pendapatan lain lain; 10.500.000 ; 8.900.000 ; 10.949.675 ; 11.878.756 ; 1.600.000 ; 17.362.600 ; 88.438.712 ; 7.181.000 ; 15.208.700 ; 256.000 ; 900.000 ; 15.910.000 
PENDAPATAN;Lain Lain;Bunga Bank; 13.289 ; 21.109 ; 18.817 ; 25.835 ; 22.867 ; 24.474 ; 75.674 ; 98.720 ; 106.613 ; 87.939 ; 82.303 ; 51.903 
PENDAPATAN;Lain Lain; Pendapatan Atas Penjualan Aset ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
PENDAPATAN;Lain Lain; Pendapatan Service ; - ; - ; - ; - ; - ; - ; - ; 1.400.000 ; 750.000 ; - ; 650.000 ; - 
PENDAPATAN;Lain Lain;Pendapatan Jasa Team Viewer; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
PEMBELIAN;Software; Server ; 17.237.290 ; 19.162.680 ; - ; - ; - ; 400.000 ; 400.000 ; 232.300 ; 344.100 ; 344.100 ; 900.901 ; - 
PEMBELIAN;Software; Software ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 2.886.628 
PEMBELIAN;Software; SSL & Domain ; 2.149.743 ; 4.084.156 ; 9.312.958 ; 5.403.135 ; 844.499 ; 6.074.387 ; 11.495.403 ; 10.002.999 ; 6.635.944 ; 7.871.799 ; 7.283.898 ; 8.339.007 
PEMBELIAN;Hardware; Hardware ; 109.765.672 ; 109.703.567 ; 152.083.636 ; 242.723.805 ; 234.654.514 ; 27.402.468 ; 83.865.001 ; 142.495.368 ; 90.069.340 ; 141.700.578 ; 51.197.484 ; 73.315.000 
PEMBELIAN;Consumable; Consumable ; 43.829.200 ; 62.434.300 ; 99.775.500 ; 126.712.850 ; 124.717.200 ; 62.832.550 ; 28.756.508 ; 94.651.220 ; 63.624.400 ; 76.696.500 ; 44.188.000 ; 73.356.200 
PEMBELIAN;Lain lain; Biaya Service ; - ; - ; - ; - ; - ; - ; - ; 1.448.550 ; - ; - ; 1.321.750 ; - 
PEMBELIAN;Lain lain; Kotak Perhiasan ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
PEMBELIAN;Lain lain;Hardware + Consumable ke CV; 21.035.000 ; 140.000.000 ; 167.709.000 ; 241.487.750 ; 247.406.000 ; 108.710.000 ; 117.115.000 ; 27.500.000 ; 306.085.000 ; 17.550.000 ; 28.500.000 ; 34.162.500 
BIAYA;ASET;Aset Investasi (Crypto, dll); - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
BIAYA;ASET;Aset; 9.200.800 ; 4.049.100 ; 2.962.470 ; - ; 7.654.716 ; 128.763.665 ; 72.958.650 ; 23.564.700 ; 20.101.284 ; 2.708.310 ; 11.071.850 ; 3.656.400 
BIAYA;Cicilan Kendaraan;Cicilan Xpander; 19.181.300 ; 19.181.300 ; 19.181.300 ; 19.181.300 ; 19.181.300 ; 19.181.300 ; 19.181.300 ; 19.181.300 ; 19.181.300 ; 19.181.300 ; 19.181.300 ; 19.181.300 
BIAYA;Cicilan Kendaraan;Cicilan Chery J6; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
BIAYA;Cicilan Kendaraan;Cicilan Chery Tiggo; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
