KATEGORI;SUB KATEGORI;AKUN; DEC ; JAN ; FEB ; MAR ; APR ; MAY ; JUN ; JUL ; AUG ; SEP ; OCT ; NOV 
PENDAPATAN;Software;PENJUALAN; 275.359.000 ; 245.261.455 ; 566.816.784 ; 535.228.000 ; 220.000.000 ; 595.682.000 ; 476.075.000 ; 171.110.000 ; 420.650.000 ; 683.853.000 ; 155.404.000 ; 393.185.000 
PENDAPATAN;Software;PENJUALAN CASH NGTC; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
PENDAPATAN;Software;PENJUALAN CASH GIA; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
PENDAPATAN;Software;Pendapatan Custom Program; - ; - ; - ; 3.500.000 ; 18.657.500 ; 11.000.000 ; 12.000.000 ; 22.750.000 ; 6.000.000 ; 29.650.000 ; 7.175.000 ; 12.600.000 
PENDAPATAN;Software;Pendapatan Maintenance; - ; - ; - ; - ; - ; 24.500.000 ; - ; 1.680.000 ; 11.125.000 ; 970.000 ; 2.000.000 ; - 
PENDAPATAN;Hardware + Consumable;Hardware + Consumable; 714.564.500 ; 307.420.575 ; 134.588.900 ; 225.108.250 ; 752.024.744 ; 409.544.834 ; 101.959.000 ; 396.353.500 ; 282.747.000 ; 347.029.475 ; 185.521.000 ; 196.621.500 
PENDAPATAN;Hardware + Consumable;Penjualan Cash CV; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
PENDAPATAN;Hardware + Consumable; Penjualan Kotak Perhiasan ; - ; - ; - ; - ; - ; - ; - ; 6.125.200 ; - ; - ; - ; - 
PENDAPATAN;Pendapatan Subscribe; Penjualan Cash Naganet ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
PENDAPATAN;Pendapatan Subscribe;Pendapatan Subscribe; 93.400.000 ; 399.962.000 ; 234.972.000 ; 191.820.000 ; 668.352.000 ; 149.000.000 ; 174.400.000 ; 272.067.000 ; 354.904.000 ; 711.800.000 ; 215.540.000 ; 220.500.000 
PENDAPATAN;Lain Lain;Fee Penjualan; - ; 500.000 ; 1.395.000 ; 725.750 ; 150.250 ; 130.000 ; 1.346.250 ; 56.750 ; 750.000 ; 500.000 ; 233.750 ; 875.000 
PENDAPATAN;Lain Lain;Pendapatan lain lain; - ; - ; - ; 1.060.000 ; - ; - ; - ; 5.615.000 ; 9.176.030 ; 9.500.000 ; 577.000 ; 6.558.000 
PENDAPATAN;Lain Lain;Bunga Bank; 9.051 ; 1.806 ; 132.210 ; 183.762 ; 189.073 ; 117.690 ; - ; - ; 93.770 ; 82.477 ; 83.304 ; 16.668 
PENDAPATAN;Lain Lain; Pendapatan Atas Penjualan Aset ;; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
